7.1000000000 -0.7002143689,,,,,7.1,-0.700214369
7.2000000000 -0.7039328436,,,,,7.2,-0.703932844
7.3000000000 -0.7104364973,,,,,7.3,-0.710436497
7.4000000000 -0.7195916730,,,,,7.4,-0.719591673
7.5000000000 -0.7312316064,,,,,7.5,-0.731231606
7.6000000000 -0.7451557497,,,,,7.6,-0.74515575
7.7000000000 -0.7611287398,,,,,7.7,-0.76112874
7.8000000000 -0.7788788620,,,,,7.8,-0.778878862
7.9000000000 -0.7980958305,,,,,7.9,-0.798095831
8.0000000000 -0.8184276737,,,,,8,-0.818427674
8.1000000000 -0.8394764699,,,,,8.1,-0.83947647
8.2000000000 -0.8607926285,,,,,8.2,-0.860792629
8.3000000000 -0.8818673577,,,,,8.3,-0.881867358
8.4000000000 -0.9021228885,,,,,8.4,-0.902122889
8.5000000000 -0.9208999464,,,,,8.5,-0.920899946
8.6000000000 -0.9374418662,,,,,8.6,-0.937441866
8.7000000000 -0.9508746372,,,,,8.7,-0.950874637
8.8000000000 -0.9601820321,,,,,8.8,-0.960182032
8.9000000000 -0.9641748245,,,,,8.9,-0.964174825
9.0000000000 -0.9614529168,,,,,9,-0.961452917
9.1000000000 -0.9503589971,,,,,9.1,-0.950358997
9.2000000000 -0.9289220942,,,,,9.2,-0.928922094
9.3000000000 -0.8947891223,,,,,9.3,-0.894789122
9.4000000000 -0.8451421747,,,,,9.4,-0.845142175
9.5000000000 -0.7765989424,,,,,9.5,-0.776598942
9.6000000000 -0.6850931955,,,,,9.6,-0.685093196
9.7000000000 -0.5657317486,,,,,9.7,-0.565731749
9.8000000000 -0.4126237418,,,,,9.8,-0.412623742
9.9000000000 -0.2186773894,,,,,9.9,-0.218677389
10.0000000000 0.0246414393,,,,,10,0.024641439
